person,text,gender,author,author's gender,title_jap,title_eng,type
エッダ,阿母さん！,f,Miyamoto Yuriko,f,猿,Monkey,play
母親,何だい？（縫物の手を動かしたまま）,f,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,ヨハンがおそいね。……どうしたんだろう。,f,Miyamoto Yuriko,f,猿,Monkey,play
母親,――あの子のことだから、また、野っ原に仰向いて、雲でも見ながら、腹の空（す）くのを忘れているんだろう。――大丈夫だよ。,f,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,……（糸車の音が、四辺（あたり）に響く）だってもね、阿母さん。ヨハンはきっとどうかしていてよ、私が、ちゃんとこの胸で感じるんだもの。,f,Miyamoto Yuriko,f,猿,Monkey,play
母親,（笑い）お前の胸かえ？ 要心おしよ、小さい娘っ子の胸と――,f,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,（強く）厭なの！ そうじゃないさ。ヨハンは、死んだあの子のお父さんやお母さんを、このごろ頻りに思い出しているって云うのよ。,f,Miyamoto Yuriko,f,猿,Monkey,play
母親,（しんみりと）そうかえ？ そんな風かえ？――可愛そうにね。……然し、思い出すに種もなかろうよ。何しろ、生れてたった五十日目に、死なれてしまったんだもの。,f,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,それあ、あの子は自分で何も覚えてはいないわ。でも、他人が云うんだもの――ヨハンが、自分が孤児（みなしご）で、阿母さん阿父さんがほんとの親でないのを知ったのだって、ハンスの婆さんに聞いたからよ。――（声を潜め）あの子の阿父さんが、狂って死んだってほんと？ 阿母さんを捕まえて、泣いて逃げるのを、むりやり河へ突陥（つっぱ）めたって……ほんと？,f,Miyamoto Yuriko,f,猿,Monkey,play
母親,（身震いをし）止めておくれ。厭な話だ。――けれどもほんとはほんとだよ。阿父さんも、阿母んも、私達二人の若い時っからの友達で、一緒に踊ったり、氷の上を滑ったり……。楽い思いをしているうちに、かあさんは、お前の阿父さんと、一緒になり彼方（あっち）も彼方で家を持った――よく酒を飲む謡（うた）の上手な男だっけが。――恐ろしい恐ろしい。鬼が憑（つ）いたんだよ。,f,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,ヨハンは、誰からか、きっとそんなことでも聞いたのよ。だから。,f,Miyamoto Yuriko,f,猿,Monkey,play
母親,（ふと、戸外に耳を欹（そばだ）て）しっ！（指を立ててエッダに合図をする。さりげない調子で）もういい加減に休んだらいいじゃあないか？ エッダ。,f,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,ああ。,f,Miyamoto Yuriko,f,猿,Monkey,play
母親,ヨハンかえ？,f,Miyamoto Yuriko,f,猿,Monkey,play
ヨハネス,ああ。ただいま。,m,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,（糸車を片よせつつ、振返り、元気に）お帰り！ どこに迷子んなっていたの？,f,Miyamoto Yuriko,f,猿,Monkey,play
ヨハネス,（微笑み、エッダの丸い体の動くのを見ながら）戸外（そと）の風は、さっぱりするからね。,m,Miyamoto Yuriko,f,猿,Monkey,play
母親,（これも縫物をしまいながら）もうやがて、嚔（くしゃみ）の出そうな時節じゃあないか。雲を見るのも、夏だけにおしよ。……それはそうと、どんな塩梅だったね？ あの渦は……。,f,Miyamoto Yuriko,f,猿,Monkey,play
ヨハネス,ああ、あれの心配ならもう入用（いら）ないよ。すっかりぴんぴんして、他の羊どもと大巫山戯（ふざけ）をやっていたもの。,m,Miyamoto Yuriko,f,猿,Monkey,play
母親,（棚から皿小鉢をおろしながら）よかったね。私は阿父さんの留守の間に一匹でも子供等に死なれちゃあ堪らないと思ったからね。（火をほげたり、鍋を掻き廻したりする）,f,Miyamoto Yuriko,f,猿,Monkey,play
ヨハネス,阿父さんは今日も帰らないの？,m,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,もう二晩泊るんだって。――町から来た人が阿父さんの言伝てを持って来たわ。,f,Miyamoto Yuriko,f,猿,Monkey,play
ヨハネス,今度の市には、俺（わし）も行って見たいな。――エッダ、一緒に行かないか？,m,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,どうするの？,f,Miyamoto Yuriko,f,猿,Monkey,play
ヨハネス,賑やかな市街（まち）の様子を一緒に見るの――何か買ってあげるよ。,m,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,詰らないわ。阿父さんは、町の女や男は、それは、それは、小ざっぱりとしているんだって云ってよ。もう種々（いろん）な物を一杯飾った店ばかりなんだって。――そんなところへ行って、たった一本飾紐（リボン）位買ったって――それに、着物もありゃあしないわよ。,f,Miyamoto Yuriko,f,猿,Monkey,play
ヨハネス,衣裳なんぞは、俺もないけれど――綺麗なところを一緒に見るのはいいじゃあないか、皆俺たちの物ばかりだと想えばいい。,m,Miyamoto Yuriko,f,猿,Monkey,play
エッダ,（おかしがって）ははははは、たった一クローネで？ はははは阿母さん！ ヨハンたら、たった一クローネで、市中の物を買い占めるんだって！,f,Miyamoto Yuriko,f,猿,Monkey,play
